,Unnamed: 0,ITTER107,Region,Population,Time,TIPO_DATO_AVQ,Value,Percentage
1,1,ITC1,Piemonte,8622434,2019,6_WEEK_RELIG,870,10.089958357466116
3,3,ITC2,Valle d'Aosta / Vallée d'Aoste,250068,2019,6_WEEK_RELIG,25,9.997280739638818
4,4,ITC3,Liguria,3049652,2019,6_WEEK_RELIG,241,7.902541011236692
6,6,ITC4,Lombardia,20055204,2019,6_WEEK_RELIG,2594,12.93429874859413
8,8,ITD3,Veneto,9758266,2019,6_WEEK_RELIG,1129,11.569678465415883
11,11,ITD4,Friuli-Venezia Giulia,2412432,2019,6_WEEK_RELIG,219,9.077976083885472
13,13,ITD5,Emilia-Romagna,8928238,2019,6_WEEK_RELIG,797,8.926733359930592
14,14,ITDA,Trentino Alto Adige / Südtirol,2156138,2019,6_WEEK_RELIG,220,10.203428537505484
16,16,ITE1,Toscana,7385110,2019,6_WEEK_RELIG,602,8.151537350154568
18,18,ITE2,Umbria,1740330,2019,6_WEEK_RELIG,168,9.65334160762614
21,21,ITE3,Marche,3025344,2019,6_WEEK_RELIG,407,13.453015590954283
22,22,ITE4,Lazio,11511400,2019,6_WEEK_RELIG,1152,10.007470854978544
24,24,ITF1,Abruzzo,2587882,2019,6_WEEK_RELIG,287,11.09015016913445
26,26,ITF2,Molise,601032,2019,6_WEEK_RELIG,83,13.809580854264
28,28,ITF3,Campania,11424286,2019,6_WEEK_RELIG,1802,15.773414636153191
31,31,ITF4,Puglia,7906610,2019,6_WEEK_RELIG,1180,14.924221632279826
32,32,ITF5,Basilicata,1106508,2019,6_WEEK_RELIG,146,13.19466284925188
35,35,ITF6,Calabria,3788220,2019,6_WEEK_RELIG,588,15.521801796094207
37,37,ITG1,Sicilia,9750580,2019,6_WEEK_RELIG,1498,15.363188651341764
38,38,ITG2,Sardegna,3223242,2019,6_WEEK_RELIG,346,10.734533739632331
