ITTER107,Region,Live_births,Miscarriages,Abortions,Total
ITC1,Piemonte,5068,508,1596,7172
ITC2,Valle d'Aosta / Vallée d'Aoste,144,15,31,190
ITC3,Liguria,1796,31,598,2425
ITC4,Lombardia,12484,767,3243,16494
ITD3,Veneto,5822,846,1143,7811
ITD4,Friuli-Venezia Giulia,1318,238,323,1879
ITD5,Emilia-Romagna,5744,709,1591,8044
ITDA,Trentino Alto Adige / Südtirol,1698,203,308,2209
ITE1,Toscana,4166,600,1258,6024
ITE2,Umbria,1006,90,254,1350
ITE3,Marche,1632,260,392,2284
ITE4,Lazio,6278,1168,2060,9506
ITF1,Abruzzo,1544,231,332,2107
ITF2,Molise,286,46,89,421
ITF3,Campania,11174,38,1629,12841
ITF4,Puglia,6166,1032,1642,8840
ITF5,Basilicata,592,109,106,807
ITF6,Calabria,3004,451,431,3886
ITG1,Sicilia,11200,1421,1415,14036
ITG2,Sardegna,1608,285,388,2281
